,,,,,,,,,,,
Nama Bahan Herbal,Identitas Taaman,Kandungan Senyawa Aktif,Manfaat,Bagian Tanaman Yang DIgunakan,Metode Pengolahan Rumahan,"Keamanan, Dosis, dan Interaksi Medis",Provinsi,,Referensi,Note,Lampiran
Kunyit,Curcuma Longa L./Curcuma donestica Val. ,"Kurkuminoid (kurkumin,demetoksikurkumin, bisdemetoksikurkumin), minyak atsiri, turmeron, zat warna kurkimin.","Antiinflamasi (antiradang) dan antioksidan kuat, meningkatkan sistem kekebalan tubuh, dan melancarkan pencernaan ",Rimpang ,"Dikupas, dicuci,diparut, atau diiris, dan bisa direbus atau dijadikan bubuk kering","aman dikonsumsi dalam jumlah wajar sebagai bumbu atau suplemen, tetapi konsumsi berlebihan atau ekstrak dosis tinggi berisiko memicu ganggusn pencernaan, pendarahan,hingga gangguan hati.",Jawa Tengah,,hallodoc,-,-
Jeruk Nipis,Citrus aurantifolia,"Vitamin C, Flavonoid (Hesperidin), Asam Sitrat, Limonoid.","Meredakan batuk, mencerahkan kulit, melancarkan pencernaan, meningkatkan imun.",Air perasan buah,Diperas langsung ke dalam air hangat atau dicampur madu untuk batuk.,Dosis: 1–2 kali sehari. Interaksi: Sifat asamnya tinggi; dapat memicu iritasi lambung pada penderita gastritis/GERD jika dikonsumsi sebelum makan. Dapat meningkatkan penyerapan zat besi.,Jawa Timur,,Tanaman Obat Tradisional Indonesia: Kandungan Fitokimia dan Potensi Farmakologis pada OJS Portal Jurnal Kesehatan.,"Meskipun jeruk nipis sering dianggap sebagai sekadar ramuan rumahan biasa, khasiatnya sebagai antitusif (meredakan batuk) dan penambah imun telah banyak diteliti: Mekanisme Kerja Biologis: Kandungan tinggi asam sitrat, hesperidin (flavonoid), dan vitamin C esensialnya berperan sebagai agen antimikroba, antiinflamasi alami, sekaligus mengencerkan dahak di saluran pernapasan. ",-
Mahkota Dewa,Phaleria macrocarpa,"Alkaloid, Saponin, Flavonoid, Polifenol.",Menurunkan kadar asam urat dan mengontrol kolesterol.,Daging buah (tanpa biji).,"Iris tipis daging buah, jemur hingga kering, lalu rebus 3-5 irisan kering dengan 2 gelas air hingga tersisa 1 gelas.",PERINGATAN KERAS: Biji buah sangat beracun (menyebabkan kejang/bengkak). Dosis: Jangan minum rebusan yang terlalu pekat.,Papua ,,"halodokter, Inhibitory Capacity of Xanthine Oxidase in Antigout Therapy by Indonesian Medicinal Plants yang dapat diakses di portal ilmiah Pharmacognosy Journal. Ulasan senyawa aktif lengkapnya juga dapat dibaca pada PMC (PMC3731883).","Kandungan senyawa flavonoid di dalam buah mahkota dewa bekerja sebagai inhibitor kompetitif terhadap enzim xanthine oxidase. Enzim ini adalah komponen utama dalam tubuh yang mengubah purin menjadi asam urat. Dengan dihambatnya enzim ini, produksi asam urat otomatis menurun.",-
Mengkudu,Morinda citrifolia,"Skopoletin, Iridoid, Xeronine, Flavonoid.","Menurunkan tekanan darah tinggi, meredakan nyeri sendi, anti-inflamasi.",Buah matang (lembek/pucat).,"Blender buah matang menjadi jus lalu saring airnya, atau diparut.",Interaksi Medis: Hindari bersamaan dengan obat hipertensi ACE Inhibitor atau diuretik karena tinggi kalium (risiko hiperkalemia).,Jawa Barat ,,Hypotensive Activity of Ethanolic Extracts of Morinda citrifolia L. Leaves and Fruit in Dexamethasone-Induced Hypertensive Rat terbit di laman resmi PubMed / PMC. Anda juga bisa merujuk pada studi klinis yang dipublikasikan di PubMed (PMID: 32298014),Riset menunjukkan bahwa ekstrak etanol buah mengkudu bekerja dengan cara menghambat aktivitas Angiotensin Converting Enzyme (ACE Inhibitor) serta memicu relaksasi pembuluh darah,-
Pala,Myristica fragrans,"Myristicin, elemici, safrole, dan kalium.",Membantu mengatasi insomnia (susah tidur) dan menenangkan sistem saraf pusat,Biji buah pala,"Parut sedikit biji pala (sekitar 1/4 sendok teh), campurkan ke dalam segelas susu hangat sebelum tidur.","Dosis: Sangat sedikit (tidak boleh lebih dari 1-2 gram sehari).Interaksi: Senyawa Myristicin bersifat psikotropika pada dosis tinggi. Konsumsi pala berlebihan dapat memicu efek halusinasi, pusing hebat, mual, hingga keracunan. Hindari penggunaan bersamaan dengan obat penenang (sedatif) golongan benzodiazepin.",Maluku,,alodokter,-,-
Kayu Putih,Melaleuca leucadendra," 1,8-cineole (eucalyptol), melaleucin, dan limonen.","Menghangatkan tubuh, meredakan perut kembung, dan melegakan saluran pernapasan.",Daun dan ranting (melalui proses distilasi menjadi minyak).,Daun segar dapat direbus untuk dihirup uap panasnya guna melegakan hidung tersumbat. Jangan meminum minyak kayu putih murni.,"Dosis: Penggunaan luar (topikal) secukupnya.Interaksi: Minyak esensial kayu putih murni bersifat toksik jika tertelan dalam jumlah tertentu, terutama bagi anak-anak.",Maluku,,"The essential oil of Melaleuca leucadendra L. (Myrtaceae) as a source of methyleugenol: Composition, antibacterial and anti-inflammatory activities.Publikasi: Taylor & Francis / Journal of Essential Oil Research","Temuan Utama: Minyak esensial dari daun kayu putih menunjukkan aktivitas antiinflamasi (antiradang) yang kuat. Melalui uji laboratorium, senyawa aktifnya mampu menghambat edema (pembengkakan) jaringan secara signifikan dengan memodulasi pelepasan sitokin pro-inflamasi tubuh",-
Gambir,Uncaria gambir,"Katekin, asam katekutanat, kuersetin, alkaloid","Mengatasi diare, mengobati sariawan, dan merawat kesehatan gusi",Daun dan ranting muda,Rebus atau seduh ekstrak padat dengan air hangat untuk obat kumur atau diminum,Dosis: 1 cangkir kecil sehari. Kandungan tanin pekat berisiko memicu iritasi lambung bila berlebihan,Sumatra Barat,,BPOM / Halodoc,Kaya katekin yang berfungsi sebagai adstringen kuat untuk peradangan jaringan,-
Andaliman,Zanthoxylum acanthopodium,"Geraniol, linalool, limonene, alkaloid","Mengatasi bau mulut, menjaga daya tahan tubuh, dan antimikroba",Buah,Tumbuk halus buah sebagai bumbu masakan tradisional atau seduh air hangat,Aman dikonsumsi harian dalam bumbu masakan. Rasa getir berlebih dapat merangsang lambung,Sumatra Utara,,Alodokter,Memiliki efek sensasi getar di lidah khas (hydroxy-alpha-sanshool) dan agen antioksidan,-
Kayu Manis,Cinnamomum burmannii,"Simamaldehid, eugenol, asam sinamat, tanin",Menurunkan kadar gula darah dan meredakan peradangan,Kulit batang,"Rebus 1 batang kayu manis dalam 2 gelas air selama 10 menit, saring lalu minum",Dosis: 1 cangkir sehari (maksimal 1–2 gram). Hindari dosis tinggi karena kandungan kumarin berisiko pada hati,Jambi,,PubMed / Halodoc,Cinnamaldehyde berperan utama meningkatkan sensitivitas insulin dan metabolisme glukosa,-
Pinang,Areca catechu,"Arekolin, arekaidin, guvakolin, tanin",Meningkatkan energi/stamina dan mengobati cacingan,Biji buah,"Iris tipis biji muda, keringkan, lalu rebus atau dikunyah bersama sirih",Dosis: Sangat terbatas. Arekolin bersifat stimulansia; penggunaan jangka panjang berisiko pada jaringan mulut,Aceh,,Alodokter,Alkaloid arekolin merangsang sistem saraf pusat tetapi harus digunakan secara terbatas,-
Lada Hitam,Piper nigrum,"Piperin, piperidin, chavicin, minyak atsiri",Meredakan perut kembung dan meningkatkan penyerapan nutrisi,Biji buah kering,"Tumbuk kasar biji, seduh dengan air hangat dan madu, atau campur pada makanan",Dosis: Secukupnya. Piperin dapat meningkatkan penyerapan beberapa jenis obat kimia di usus,Kepulauan Bangka Belitung,,Halodoc,Piperin secara signifikan meningkatkan bioavailabilitas senyawa herbal lain seperti kurkumin,-
